DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
114,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
115,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
116,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
117,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
118,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
119,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
120,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
121,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
122,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
123,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
124,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
125,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
126,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
127,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
128,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
129,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
130,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
131,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
132,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
133,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
134,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
135,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
136,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
137,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
138,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
